cn8,forme,hhi_2017,hhi_2025,partenaire_2017,part_2017_pct,partenaire_2025,part_2025_pct,conclusion_limitee
81082000,Formes brutes et poudres agrégées,1825.6,1835.4,États-Unis,23.8,Kazakhstan,24.22,stable
81083000,Déchets et chutes,2568.5,1449.4,Russie,44.39,États-Unis,23.69,en baisse
81089030,"Barres, tiges, profilés et fils",2991.9,3028.8,États-Unis,44.79,États-Unis,46.18,stable
81089050,"Plaques, feuilles, bandes et feuillards",2625.3,2407.4,Japon,40.46,États-Unis,31.91,mixte
81089060,Tubes et tuyaux,2130.6,4137.9,États-Unis,33.11,Chine,60.23,en hausse
81089090,Autres ouvrages en titane,3352.0,2366.4,Royaume-Uni,53.03,Royaume-Uni,41.62,en baisse
